trip,tripSlug,photoId,location,date,alt,caption,description,Make,Model,LensModel,FocalLength,FocalLengthIn35mmFormat,FNumber,ExposureTime,ISO,ExposureProgram,MeteringMode,WhiteBalance,Flash,DateTimeOriginal,GPSLatitude,GPSLongitude,width,height,src
"bali-2026","bali-2026","bal26-001","Bali, Indonesia","2026-06-07","Man with bucket walks brick path, Bali sunset. Golden hour light, power lines, lush green field, construction backdrop, Indonesia.","Golden hour's simple rhythm","Golden hour sunlight drenches a brick pathway in warm hues, as a man in a red shirt carries a bucket through Bali, Indonesia. Long shadows stretch, emphasizing the textured ground and lush green grass alongside. Overhead power lines punctuate the soft, pastel sky, framing a tranquil, everyday scene. Distant tropical foliage and nascent construction hint at the evolving landscape.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1250","250","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:07 11:45:34","","","4150","6225","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/01-bali-golden-hour-walk-man-bucket-street-indonesia"
"bali-2026","bali-2026","bal26-002","Bali, Indonesia","2026-06-07","Smiling Balinese construction worker portrait, shirtless, sitting on concrete ledge, unfinished building interior, grey tones, Bali, Indonesia.","Resilient spirit, a warm smile","A captivating portrait captures a Balinese man, shirtless and smiling broadly, sitting casually on a concrete ledge. He rests within the raw, unfinished structure of a building under construction, its grey walls and exposed beams forming a stark backdrop. Natural light illuminates his face, highlighting the genuine warmth of his expression. Stacks of construction blocks and rough stone elements define the authentic, evolving landscape of modern Bali, Indonesia.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1250","3200","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:07 11:48:14","","","4144","6216","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/02-balinese-construction-worker-portrait-bali-indonesia"
"bali-2026","bali-2026","bal26-003","Bali, Indonesia","2026-06-07","Bali street at golden hour, motorcyclist with ladder strapped to scooter rides towards camera, backlit by warm sunset, other traffic, trees.","Golden hour street hustle","Golden hour bathes a bustling Bali street in a warm glow. Motorcyclists navigate the road, silhouetted against the setting sun. A central figure transports a large ladder, an everyday sight in Indonesian life. Lush green trees line the street, their leaves catching the radiant light. Power lines crisscross the amber sky, framing the vibrant urban scene.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1250","640","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:07 11:48:41","","","4672","7008","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/03-bali-sunset-scooter-traffic-everyday-street-scene-indonesia"
"bali-2026","bali-2026","bal26-004","Bali, Indonesia","2026-06-07","Joyful Balinese man in motorcycle helmet, teal jacket, holding bag at street market stall with 'HARGA LAUT' sign. Bali, Indonesia.","Joyful spirit, market day","A cheerful Balinese man smiles widely, wearing a motorcycle helmet and a two-tone jacket. He stands before a vibrant red and blue street stall banner, hints of a 'staff wanted' sign nearby. His weathered hands hold a white woven bag, reflecting daily life. Soft daylight illuminates his joyful expression, capturing the warmth and authenticity of Bali's bustling street commerce.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1250","4000","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:07 11:50:07","","","4672","7008","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/04-balinese-man-street-market-smile-bali-indonesia"
"bali-2026","bali-2026","bal26-005","Bali, Indonesia","2026-06-07","Balinese man joyfully raising fist in lush green tropical garden with traditional house roof, Bali, Indonesia","Joyful spirit amidst green bounty","A jubilant Balinese man smiles, raising his fist in a vibrant green tropical garden. Soft sunlight illuminates the lush foliage, revealing thriving plants. His bare feet connect him to the rich earth, evoking pride and contentment. Traditional architectural elements of nearby homes hint at the island's cultural tapestry. The authentic atmosphere offers a glimpse into local Bali life.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1000","5000","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:07 12:01:45","","","3734","5601","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/05-bali-man-tropical-garden-joy-local-life-indonesia"
"bali-2026","bali-2026","bal26-006","Bali, Indonesia","2026-06-08","Smiling man on light blue scooter in Bali, wearing hoodie, sunglasses, and beaded necklace, beside ornate Balinese stone carvings at sunset.","Relaxed island golden hour","Golden hour light bathes a man sitting casually on a teal scooter in Bali. He smiles, wearing a grey hoodie, distinctive sunglasses, and a unique turquoise beaded necklace. Intricate Balinese stone carvings, depicting guardian figures and ornate patterns, form a rich cultural backdrop. Tropical foliage hints at the island's lush environment, while the relaxed pose captures the essence of Balinese travel, full of personal style and local charm.","SONY","ILCE-7CM2","FE 24-70mm F2.8 GM II","70.0 mm","70 mm","2.8","1/400","800","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:08 11:44:16","","","4672","7008","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/06-bali-man-scooter-golden-hour-stone-carving-travel"
"bali-2026","bali-2026","bal26-007","Bali, Indonesia","2026-06-08","Smiling Indonesian delivery rider on blue Honda Vario scooter in Bali. Man with green helmet, sunglasses, phone, large black bag. License plate DK5572FAS.","Daily hustle, vibrant smile","A charismatic Indonesian delivery rider smiles broadly, sitting astride his blue Honda Vario scooter on a paved street in Bali. Golden hour sunlight illuminates his green helmet and distinctive light green sunglasses. A large black delivery bag is secured to his back, with additional bags on the scooter sides. He holds up a white smartphone, perhaps for a quick photo or navigation. The scene captures the friendly, bustling spirit of daily life on the island, with a textured concrete wall and lush foliage in the background.","SONY","ILCE-7CM2","FE 24-70mm F2.8 GM II","70.0 mm","70 mm","3.2","1/400","400","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:08 11:47:01","","","4009","6014","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/07-bali-indonesian-delivery-rider-scooter-smile-street"
"bali-2026","bali-2026","bal26-008","Bali, Indonesia","2026-06-14","Person on scooter in Bali with dog in pink goggles, wearing colorful helmet & backpack on a sunny street, Indonesia.","Joyful ride, dog in pink goggles","A vibrant street scene unfolds in Bali, Indonesia, where a person rides a scooter, their back to the viewer. A delightful dog, sporting bright pink goggles, sits comfortably in front. The rider wears a beautifully illustrated helmet, a patterned shirt, and a backpack, reflecting a relaxed, adventurous spirit. Golden hour light illuminates the scene, casting soft glows on the tropical foliage and buildings, capturing the essence of island travel and daily life.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","24.0 mm","24 mm","3.2","1/1000","400","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 10:48:54","","","2244","3366","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/08-bali-scooter-dog-pink-goggles-travel-indonesia-street"
"bali-2026","bali-2026","bal26-009","Bali, Indonesia","2026-06-14","Man with intricate arm tattoos holding a cigarette, sitting casually outside a local street shop in Bali, Indonesia. Stacked eggs, snacks, and Indonesian advertisements are visible.","A quiet street corner moment","A man with intricate arm tattoos sits casually on a stone stool outside a local street shop in Bali. He holds a lit cigarette, gazing calmly towards the viewer. The vibrant scene features stacked egg cartons, bottled water, and various packaged snacks for sale. Faded Indonesian advertisements adorn the wall, including tobacco warnings and pricing, adding authentic cultural layers. Warm, natural light illuminates the everyday street life.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","59.0 mm","59 mm","3.2","1/1000","640","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 10:52:11","","","3363","5045","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/09-bali-street-portrait-tattooed-man-local-shop-indonesia"
"bali-2026","bali-2026","bal26-010","Old Town Barber, Bali, Indonesia","2026-06-14","Old Town Barber, Bali, Indonesia. Smiling local man holding door, parked scooters, friends outside barbershop.","Barbershop tales and street life","Golden hour light bathes the facade of Old Town Barber in Bali, Indonesia. A smiling local man holds the green-framed door open, inviting glances into the bustling street scene. Parked scooters line the sidewalk, ready for their next journey. Friends gather, one on a phone call, amidst deep shadows and vibrant highlights. This candid moment captures the lively pulse of daily island life, a blend of urban energy and tropical charm.","SONY","ILCE-7CM2","Sony FE 24-70mm F2.8 II","70.0 mm","70 mm","2.8","1/1250","320","Manual","Multi-segment","Auto","Off, Did not fire","2026:06:14 10:54:50","","","4225","6338","https://res.cloudinary.com/do9hrcwn1/image/upload/c_limit,f_auto,q_auto,w_1200/v1/sammapix/portfolio/bali-2026/10-bali-old-town-barber-street-scene-scooters-indonesia"
